"id","average","rank","latitude","longitude","elevation","state","name","total19"
"USS0021A09S",152.2,1,48.76,-121.7,1072.9,"WA","Marten Ridge",111.4
"FMW00040505",146.2,2,7.45,151.8333,1.5,"FM","CHUUK WSO AP",145.6
"USS0023B18S",132.8,3,47.71,-123.46,1484.4,"WA","Buckinghorse",81.1
"USS0021D33S",122.7,4,45.43,-121.86,1112.5,"OR","Blazed Alder",85.4
"USS0021A36S",119.4,5,48.82,-121.93,1514.9,"WA","MF Nooksack",88.3
"USS0022D03S",118.3,6,45.45,-122.03,819.9,"OR","South Fork Bull Run",84.6
"USW00021504",112.9,7,19.7192,-155.0531,11.6,"HI","HILO INTL AP",100.8
"USS0021D04S",111.2,8,45.46,-121.7,1344.2,"OR","Red Hill",80.2
"USW00094240",105.4,9,47.9375,-124.555,56.4,"WA","QUILLAYUTE STATE AP",81
"USS0021C26S",104.3,10,46.27,-121.96,1197.9,"WA","Lone Pine",74
"USS0021B59S",102,11,47.28,-121.47,984.5,"WA","Meadows Pass",76.3
"GQW00041415",101.8,12,13.4836,144.7961,77.4,"GU","GUAM INTL AP",92
"USS0023D01S",96.5,13,45.54,-123.37,947.9,"OR","Saddle Mountain",72.3
"USS0021B01S",92.9,14,47.75,-121.09,1204,"WA","Stevens Pass",65.6
"USS0016A08S",88.9,15,48.31,-116.07,1645.9,"ID","Bear Mountain",60.9
"USW00014755",87.3,16,44.2667,-71.2994,1910.2,"NH","MT WASHINGTON",87.2
"USS0022E07S",87,17,44.39,-122.17,1072.9,"OR","Jump Off Joe",65.7
"USS0021B63S",82.9,18,47.04,-121.94,1271,"WA","Burnt Mountain",65.2
"USC00455840",80.9,19,48.6758,-121.2419,160,"WA","NEWHALEM",56.9
"USS0022E08S",79.6,20,44.52,-122.09,1124.7,"OR","Daly Lake",63.8
"USC00084461",78,21,26.86,-80.0553,1.5,"FL","JUNO BEACH",89.5
"USS0022F04S",76.6,22,43.61,-122.12,1286.3,"OR","Salt Creek Falls",63.9
"USC00352973",75.7,23,44.0039,-124.0947,22.9,"OR","FLORENCE #2",64.8
"USS0013A19S",75.5,24,48.8,-113.86,1920.2,"MT","Flattop Mtn.",64.7
"USC00353705",75.1,25,45.3128,-123.35,230.4,"OR","HASKINS DAM",50.9
"USS0013A25S",74.2,26,48.16,-113.95,1841,"MT","Noisy Basin",57.4
"USW00094224",73.3,27,46.1569,-123.8825,2.7,"OR","ASTORIA RGNL AP",51.5
"USW00025501",73.2,28,57.7511,-152.4856,24.4,"AK","KODIAK AP",73.8
"USS0021D01S",72.8,29,45.62,-121.7,1008.9,"OR","Greenpoint",50.6
"USC00451679",72.8,30,48.5397,-121.7422,59.4,"WA","CONCRETE PPL FISH STN",52.4
"USC00355221",72.5,31,44.6125,-121.9486,754.4,"OR","MARION FORKS FISH HATCHERY",54.9
"USC00097827",72,32,34.6647,-83.7342,484.9,"GA","SAUTEE 3W",81
"USS0022F14S",71.8,33,43.45,-122.14,1709.9,"OR","Summit Lake",66.1
"USS0017D20S",71.7,34,45.98,-117.95,1700.8,"OR","Milk Shakes",62.2
"USW00013899",71.1,35,30.4781,-87.1869,34.1,"FL","PENSACOLA RGNL AP",52.6
"USC00160558",70.9,36,30.4494,-91.0478,16.8,"LA","BATON ROUGE SHERWOOD",75.9
"USC00406162",70.7,37,35.2242,-85.8414,563.9,"TN","MONTEAGLE",81.9
"USW00094225",69.9,38,46.9728,-123.9303,3.7,"WA","HOQUIAM BOWERMAN AP",45.2
"USS0021E06S",69.8,39,44.42,-121.86,1460,"OR","Hogg Pass",54.1
"USW00012839",69,40,25.7906,-80.3164,8.8,"FL","MIAMI INTL AP",67.2
"USS0021C42S",67.8,41,46.1,-121.96,652.3,"WA","Pepper Creek",52.3
"USW00013894",67.7,42,30.6794,-88.2397,63.4,"AL","MOBILE",64.7
"US1FLOK0029",67.1,43,30.4109,-86.6475,4.9,"FL","MARY ESTHER 0.6 E",54.6
"USS0013B24S",66.6,44,47.68,-113.96,2066.5,"MT","Moss Peak",55.4
"USS0021C38S",66.5,45,46.81,-121.33,1405.1,"WA","Bumping Ridge",48.2
"USW00013970",66.5,46,30.5372,-91.1469,19.5,"LA","BATON ROUGE RYAN AP",64.1
"RQW00011641",66.3,47,18.4325,-66.0108,2.7,"PR","SAN JUAN L M MARIN AP",47
"USW00025309",66.2,48,58.3567,-134.5639,4.9,"AK","JUNEAU INTL AP",60.5
"USS0022F03S",65.8,49,43.59,-122.06,1554.5,"OR","Cascade Summit",53.9
"USC00164700",65.5,50,30.2003,-92.6642,7.6,"LA","JENNINGS",69
"US1FLMD0022",65.4,51,25.665,-80.4395,2.7,"FL","HAMMOCKS 0.5 SSE",63
"USS0014C12S",65.3,52,46.14,-114.51,1950.7,"MT","Twin Lakes",47.3
"USC00400284",64.8,53,35.4322,-84.5833,286.5,"TN","ATHENS",75.7
"US1KYCS0001",64.8,54,37.5245,-84.9965,287.1,"KY","BRADFORDSVILLE 8.5 ENE",69.6
"USS0022G06S",64.7,55,42.87,-122.17,1831.8,"OR","Annie Springs",60.8
"USS0021B04S",64.4,56,47.54,-121.09,1045.5,"WA","Fish Lake",49.5
"USW00093874",64.2,57,30.4119,-89.0808,12.8,"MS","GULFPORT - BILOXI AP",49.2
"USW00012916",63.7,58,29.9933,-90.2511,1.2,"LA","NEW ORLEANS INTL AP",62.6
"USS0015C06S",63.6,59,46.48,-115.63,1770.9,"ID","Hemlock Butte",51.8
"USS0021F21S",63.5,60,43.8,-121.95,1688.6,"OR","Irish Taylor",52.5
"USC00462211",63.2,61,39.0981,-79.4322,1132.3,"WV","DAVIS 3SE",63.8
"USS0021C40S",63.1,62,46.93,-121.95,963.2,"WA","Mowich",52.3
"US1FLHB0004",62.7,63,27.9125,-82.2261,32.9,"FL","VALRICO 2.2 SE",68.1
"USS0015C10S",62.6,64,46.98,-115.03,1844,"MT","Hoodoo Basin",46.6
