"id","average","total19","city","state"
"USW00021504",112.9,100.8,"Hilo","HI"
"USW00094240",105.4,81,"Forks","WA"
"USS0021B01S",92.9,65.6,"Skykomish","WA"
"USS0022E07S",87,65.7,"Foster","OR"
"USC00455840",80.9,56.9,"Rockport","WA"
"USC00084461",78,89.5,"North Palm Beach","FL"
"USC00352973",75.7,64.8,"Florence","OR"
"USC00353705",75.1,50.9,"Yamhill","OR"
"USW00094224",73.3,51.5,"Warrenton","OR"
"USW00025501",73.2,73.8,"Kodiak","AK"
"USC00451679",72.8,52.4,"Concrete","WA"
"USC00355221",72.5,54.9,"Idanha","OR"
"USC00097827",72,81,"Sautee Nacoochee","GA"
"USW00013899",71.1,52.6,"Pensacola","FL"
"USC00160558",70.9,75.9,"Baton Rouge","LA"
"USC00406162",70.7,81.9,"Monteagle","TN"
"USW00094225",69.9,45.2,"Hoquiam","WA"
"USW00012839",69,67.2,"Miami","FL"
"USW00013894",67.7,64.7,"Mobile","AL"
"US1FLOK0029",67.1,54.6,"Mary Esther","FL"
"USW00013970",66.5,64.1,"Baton Rouge","LA"
"RQW00011641",66.3,47,"Carolina","PR"
"USW00025309",66.2,60.5,"Juneau","AK"
"USC00164700",65.5,69,"Jennings","LA"
"US1FLMD0022",65.4,63,"Miami","FL"
"USC00400284",64.8,75.7,"Athens","TN"
"USW00093874",64.2,49.2,"Gulfport","MS"
"USW00012916",63.7,62.6,"Kenner","LA"
"USC00462211",63.2,63.8,"Davis","WV"
"US1FLHB0004",62.7,68.1,"Valrico","FL"
"USW00013748",62.3,49.1,"Wilmington","NC"
"USC00226527",62.3,85.2,"Olive Branch","MS"
"USW00013833",61.6,66.6,"Hattiesburg","MS"
"USW00003937",61.6,66,"Lake Charles","LA"
"USC00177238",61.3,70,"Robbinston","ME"
"USW00003940",61.1,64.2,"Flowood","MS"
"USC00449272",61,56.6,"Woolwine","VA"
"US1TNHT0001",60.4,61.6,"Tennessee Ridge","TN"
"US1MSLD0008",60.4,67.6,"Collinsville","MS"
"USC00405956",60.3,76.7,"Memphis","TN"
"USC00220656",60.1,76.8,"Golden","MS"
"US1FLBV0001",59.6,67.8,"Palm Bay","FL"
"USW00003847",59.6,68,"Crossville","TN"
"USC00030130",59.3,73.9,"Paron","AR"
"USC00407184",58.6,70.2,"Pikeville","TN"
"USC00408868",58.6,71.7,"Tazewell","TN"
"USC00408160",58.4,71.8,"Selmer","TN"
"US1MSWN0002",58.3,75.6,"Noxapater","MS"
"USC00303851",58.3,65.4,"Constableville","NY"
"USW00093805",57.6,39.1,"Tallahassee","FL"
"USW00013865",57.6,60.6,"Meridian","MS"
"USS0019K07S",57.6,80.7,"Reno","NV"
"USW00093862",57.3,77,"Tupelo","MS"
"US1TNMY0008",57.3,64.7,"Columbia","TN"
"USC00157215",57.3,69.5,"Scottsville","KY"
