"id","latitude","longitude","city","state","station"
"USW00021504",19.7192,-155.0531,"Hilo","HI","HILO INTL AP"
"USW00094240",47.9375,-124.555,"Forks","WA","QUILLAYUTE STATE AP"
"USS0021B01S",47.75,-121.09,"Skykomish","WA","Stevens Pass"
"USS0022E07S",44.39,-122.17,"Foster","OR","Jump Off Joe"
"USC00455840",48.6758,-121.2419,"Rockport","WA","NEWHALEM"
"USC00084461",26.86,-80.0553,"North Palm Beach","FL","JUNO BEACH"
"USC00352973",44.0039,-124.0947,"Florence","OR","FLORENCE #2"
"USC00353705",45.3128,-123.35,"Yamhill","OR","HASKINS DAM"
"USW00094224",46.1569,-123.8825,"Warrenton","OR","ASTORIA RGNL AP"
"USW00025501",57.7511,-152.4856,"Kodiak","AK","KODIAK AP"
"USC00451679",48.5397,-121.7422,"Concrete","WA","CONCRETE PPL FISH STN"
"USC00355221",44.6125,-121.9486,"Idanha","OR","MARION FORKS FISH HATCHERY"
"USC00097827",34.6647,-83.7342,"Sautee Nacoochee","GA","SAUTEE 3W"
"USW00013899",30.4781,-87.1869,"Pensacola","FL","PENSACOLA RGNL AP"
"USC00160558",30.4494,-91.0478,"Baton Rouge","LA","BATON ROUGE SHERWOOD"
"USC00406162",35.2242,-85.8414,"Monteagle","TN","MONTEAGLE"
"USW00094225",46.9728,-123.9303,"Hoquiam","WA","HOQUIAM BOWERMAN AP"
"USW00012839",25.7906,-80.3164,"Miami","FL","MIAMI INTL AP"
"USW00013894",30.6794,-88.2397,"Mobile","AL","MOBILE"
"US1FLOK0029",30.4109,-86.6475,"Mary Esther","FL","MARY ESTHER 0.6 E"
"USW00013970",30.5372,-91.1469,"Baton Rouge","LA","BATON ROUGE RYAN AP"
"RQW00011641",18.4325,-66.0108,"Carolina","PR","SAN JUAN L M MARIN AP"
"USW00025309",58.3567,-134.5639,"Juneau","AK","JUNEAU INTL AP"
"USC00164700",30.2003,-92.6642,"Jennings","LA","JENNINGS"
"US1FLMD0022",25.665,-80.4395,"Miami","FL","HAMMOCKS 0.5 SSE"
"USC00400284",35.4322,-84.5833,"Athens","TN","ATHENS"
"USW00093874",30.4119,-89.0808,"Gulfport","MS","GULFPORT - BILOXI AP"
"USW00012916",29.9933,-90.2511,"Kenner","LA","NEW ORLEANS INTL AP"
"USC00462211",39.0981,-79.4322,"Davis","WV","DAVIS 3SE"
"US1FLHB0004",27.9125,-82.2261,"Valrico","FL","VALRICO 2.2 SE"
"USW00013748",34.2675,-77.8997,"Wilmington","NC","WILMINGTON INTL AP"
"USC00226527",34.9536,-89.8297,"Olive Branch","MS","OLIVE BRANCH"
"USW00013833",31.2819,-89.2531,"Hattiesburg","MS","HATTIESBURG CHAIN MUNI AP"
"USW00003937",30.125,-93.2158,"Lake Charles","LA","LAKE CHARLES"
"USC00177238",45.0853,-67.1206,"Robbinston","ME","ROBBINSTON"
"USW00003940",32.3206,-90.0778,"Flowood","MS","JACKSON INTL AP"
"USC00449272",36.7736,-80.2622,"Woolwine","VA","WOOLWINE 1 SE"
"US1TNHT0001",36.3087,-87.7842,"Tennessee Ridge","TN","TENNESSEE RIDGE 1.4 SW"
"US1MSLD0008",32.5498,-88.8206,"Collinsville","MS","COLLINSVILLE 4.0 NNE"
"USC00405956",35.1297,-89.8036,"Memphis","TN","MEMPHIS WFO"
"USC00220656",34.4772,-88.1994,"Golden","MS","BELMONT 2 SSE"
"US1FLBV0001",27.9512,-80.642,"Palm Bay","FL","PALM BAY 2.6 SSE"
"USW00003847",35.9508,-85.0814,"Crossville","TN","CROSSVILLE MEM AP"
"USC00030130",34.7961,-92.8417,"Paron","AR","ALUM FK"
"USC00407184",35.5983,-85.1939,"Pikeville","TN","PIKEVILLE"
"USC00408868",36.465,-83.5603,"Tazewell","TN","TAZEWELL"
"USC00408160",35.1647,-88.5994,"Selmer","TN","SELMER"
"US1MSWN0002",32.9751,-89.117,"Noxapater","MS","NOXAPATER 3.3 WSW"
"USC00303851",43.5753,-75.5208,"Constableville","NY","HIGHMARKET"
"USW00093805",30.3975,-84.3289,"Tallahassee","FL","TALLAHASSEE"
"USW00013865",32.3347,-88.7442,"Meridian","MS","MERIDIAN KEY FLD"
"USS0019K07S",39.32,-119.89,"Reno","NV","Mt Rose Ski Area"
"USW00093862",34.2622,-88.7714,"Tupelo","MS","TUPELO RGNL AP"
"US1TNMY0008",35.6072,-87.0592,"Columbia","TN","COLUMBIA 1.2 SSW"
"USC00157215",36.7461,-86.2258,"Scottsville","KY","SCOTTSVILLE"
"US1TNRD0001",35.9247,-86.4367,"Murfreesboro","TN","MURFREESBORO 5.5 NNW"
"US1INDB0001",38.2929,-86.9611,"Huntingburg","IN","HUNTINGBURG 0.4 SSW"
