"id","average","total19","city","state"
"USW00021504",28667.4,25615,"Hilo","HI"
"USW00094240",26770.1,20567,"Forks","WA"
"USS0021B01S",23590.4,16650,"Skykomish","WA"
"USS0022E07S",22089.1,16685,"Foster","OR"
"USC00455840",20536,14460,"Rockport","WA"
"USC00084461",19822.1,22728,"North Palm Beach","FL"
"USC00352973",19230.4,16471,"Florence","OR"
"USC00353705",19078.4,12930,"Yamhill","OR"
"USW00094224",18615.2,13092,"Warrenton","OR"
"USW00025501",18605.4,18739,"Kodiak","AK"
"USC00451679",18492.4,13315,"Concrete","WA"
"USC00355221",18407,13944,"Idanha","OR"
"USC00097827",18283.2,20572,"Sautee Nacoochee","GA"
"USW00013899",18061.5,13356,"Pensacola","FL"
"USC00160558",17997.5,19285,"Baton Rouge","LA"
"USC00406162",17961.6,20801,"Monteagle","TN"
"USW00094225",17763.4,11484,"Hoquiam","WA"
"USW00012839",17524.2,17070,"Miami","FL"
"USW00013894",17208.2,16443,"Mobile","AL"
"US1FLOK0029",17049.8,13876,"Mary Esther","FL"
"USW00013970",16880.6,16285,"Baton Rouge","LA"
"RQW00011641",16836.8,11937,"Carolina","PR"
"USW00025309",16807,15362,"Juneau","AK"
"USC00164700",16625.7,17515,"Jennings","LA"
"US1FLMD0022",16617.3,16002,"Miami","FL"
"USC00400284",16467.3,19226,"Athens","TN"
"USW00093874",16318.2,12503,"Gulfport","MS"
"USW00012916",16172.6,15889,"Kenner","LA"
"USC00462211",16049.7,16210,"Davis","WV"
"US1FLHB0004",15923.1,17290,"Valrico","FL"
"USW00013748",15834.2,12471,"Wilmington","NC"
"USC00226527",15812.8,21633,"Olive Branch","MS"
"USW00013833",15653.3,16924,"Hattiesburg","MS"
"USW00003937",15647.3,16773,"Lake Charles","LA"
"USC00177238",15570.3,17787,"Robbinston","ME"
"USW00003940",15523.3,16298,"Flowood","MS"
"USC00449272",15499.6,14368,"Woolwine","VA"
"US1TNHT0001",15347.4,15639,"Tennessee Ridge","TN"
"US1MSLD0008",15344,17175,"Collinsville","MS"
"USC00405956",15313.5,19485,"Memphis","TN"
"USC00220656",15274.6,19507,"Golden","MS"
"US1FLBV0001",15133.8,17226,"Palm Bay","FL"
"USW00003847",15126.3,17265,"Crossville","TN"
"USC00030130",15057.6,18778,"Paron","AR"
"USC00407184",14882.6,17821,"Pikeville","TN"
"USC00408868",14875.5,18203,"Tazewell","TN"
"USC00408160",14827.3,18246,"Selmer","TN"
"US1MSWN0002",14817.4,19214,"Noxapater","MS"
"USC00303851",14797.4,16614,"Constableville","NY"
"USW00093805",14641.7,9925,"Tallahassee","FL"
"USW00013865",14628.3,15404,"Meridian","MS"
"USS0019K07S",14628.1,20487,"Reno","NV"
"USW00093862",14556,19557,"Tupelo","MS"
"US1TNMY0008",14550.3,16438,"Columbia","TN"
"USC00157215",14547.6,17652,"Scottsville","KY"
"US1TNRD0001",14525.9,17523,"Murfreesboro","TN"
"US1INDB0001",14457.2,17320,"Huntingburg","IN"
"USC00365344",14397.4,14398,"Mahanoy City","PA"
"USC00155097",14380.2,16481,"Park City","KY"
"US1KYTD0002",14361.5,15548,"Guthrie","KY"
"US1GACW0002",14351.5,13960,"Sharpsburg","GA"
"USW00013893",14322.6,18713,"Memphis","TN"
"USC00154958",14268.5,15030,"Louisville","KY"
"USW00013882",14267.4,16055,"Chattanooga","TN"
"USW00003811",14257.2,16810,"Jackson","TN"
"USC00414325",14241.2,14030,"Sugar Land","TX"
"US1GACW0009",14170.3,14447,"Newnan","GA"
"USW00013876",14155.5,13355,"Birmingham","AL"
"USC00178792",14155.1,15486,"Topsfield","ME"
"USW00013942",14147.6,15662,"Monroe","LA"
"USW00003952",14115.2,16810,"North Little Rock","AR"
"USW00003889",14109.7,14629,"Jackson","KY"
"USW00003856",14074.1,15659,"Madison","AL"
"US1GAFT0019",13931.6,14016,"Atlanta","GA"
"US1PABR0002",13901.8,16916,"Reading","PA"
"USC00301625",13856.5,13935,"Colden","NY"
"USC00085359",13853.5,14500,"Marco Island","FL"
"USW00013880",13827.5,12565,"Charleston Afb","SC"
