"id","average","latitude","longitude","elevation","state","name","total19","city"
"USC00400284",16467.3,35.4322,-84.5833,286.5,"TN","ATHENS",19226,"Athens"
"USW00093874",16318.2,30.4119,-89.0808,12.8,"MS","GULFPORT - BILOXI AP",12503,"Gulfport"
"USW00012916",16172.6,29.9933,-90.2511,1.2,"LA","NEW ORLEANS INTL AP",15889,"Kenner"
"USC00462211",16049.7,39.0981,-79.4322,1132.3,"WV","DAVIS 3SE",16210,"Davis"
"US1FLHB0004",15923.1,27.9125,-82.2261,32.9,"FL","VALRICO 2.2 SE",17290,"Valrico"
"USW00013748",15834.2,34.2675,-77.8997,10.1,"NC","WILMINGTON INTL AP",12471,"Wilmington"
"USC00226527",15812.8,34.9536,-89.8297,117.3,"MS","OLIVE BRANCH",21633,"Olive Branch"
"USW00013833",15653.3,31.2819,-89.2531,46,"MS","HATTIESBURG CHAIN MUNI AP",16924,"Hattiesburg"
"USW00003937",15647.3,30.125,-93.2158,4,"LA","LAKE CHARLES",16773,"Lake Charles"
"USC00177238",15570.3,45.0853,-67.1206,35.1,"ME","ROBBINSTON",17787,"Robbinston"
"USW00003940",15523.3,32.3206,-90.0778,100.6,"MS","JACKSON INTL AP",16298,"Flowood"
"USC00449272",15499.6,36.7736,-80.2622,385,"VA","WOOLWINE 1 SE",14368,"Woolwine"
"US1TNHT0001",15347.4,36.3087,-87.7842,210,"TN","TENNESSEE RIDGE 1.4 SW",15639,"Tennessee Ridge"
"US1MSLD0008",15344,32.5498,-88.8206,118,"MS","COLLINSVILLE 4.0 NNE",17175,"Collinsville"
"USC00405956",15313.5,35.1297,-89.8036,94.5,"TN","MEMPHIS WFO",19485,"Memphis"
"USC00220656",15274.6,34.4772,-88.1994,186.5,"MS","BELMONT 2 SSE",19507,"Golden"
"US1FLBV0001",15133.8,27.9512,-80.642,11.9,"FL","PALM BAY 2.6 SSE",17226,"Palm Bay"
"USW00003847",15126.3,35.9508,-85.0814,569.1,"TN","CROSSVILLE MEM AP",17265,"Crossville"
"USC00030130",15057.6,34.7961,-92.8417,212.8,"AR","ALUM FK",18778,"Paron"
"USC00407184",14882.6,35.5983,-85.1939,263.3,"TN","PIKEVILLE",17821,"Pikeville"
"USC00408868",14875.5,36.465,-83.5603,416.1,"TN","TAZEWELL",18203,"Tazewell"
"USC00408160",14827.3,35.1647,-88.5994,143.3,"TN","SELMER",18246,"Selmer"
"US1MSWN0002",14817.4,32.9751,-89.117,145.1,"MS","NOXAPATER 3.3 WSW",19214,"Noxapater"
"USC00303851",14797.4,43.5753,-75.5208,537.4,"NY","HIGHMARKET",16614,"Constableville"
"USW00093805",14641.7,30.3975,-84.3289,19.2,"FL","TALLAHASSEE",9925,"Tallahassee"
"USW00013865",14628.3,32.3347,-88.7442,89.6,"MS","MERIDIAN KEY FLD",15404,"Meridian"
"USS0019K07S",14628.1,39.32,-119.89,2682.5,"NV","Mt Rose Ski Area",20487,"Reno"
"USW00093862",14556,34.2622,-88.7714,110,"MS","TUPELO RGNL AP",19557,"Tupelo"
"US1TNMY0008",14550.3,35.6072,-87.0592,220.1,"TN","COLUMBIA 1.2 SSW",16438,"Columbia"
"USC00157215",14547.6,36.7461,-86.2258,226.5,"KY","SCOTTSVILLE",17652,"Scottsville"
"US1TNRD0001",14525.9,35.9247,-86.4367,167.9,"TN","MURFREESBORO 5.5 NNW",17523,"Murfreesboro"
"US1INDB0001",14457.2,38.2929,-86.9611,153.3,"IN","HUNTINGBURG 0.4 SSW",17320,"Huntingburg"
"USC00365344",14397.4,40.8344,-76.1353,521.2,"PA","MAHANOY CITY 2 N",14398,"Mahanoy City"
"USC00155097",14380.2,37.1317,-86.1481,231.6,"KY","MAMMOTH CAVE",16481,"Park City"
"US1KYTD0002",14361.5,36.6534,-87.184,164.6,"KY","GUTHRIE 0.8 WNW",15548,"Guthrie"
"US1GACW0002",14351.5,33.4273,-84.6607,270.4,"GA","SHARPSBURG 6.0 N",13960,"Sharpsburg"
"USW00013893",14322.6,35.0564,-89.9864,77.4,"TN","MEMPHIS INTL AP",18713,"Memphis"
"USC00154958",14268.5,38.115,-85.6444,192.6,"KY","LOUISVILLE WFO",15030,"Louisville"
"USW00013882",14267.4,35.0311,-85.2014,204.5,"TN","CHATTANOOGA LOVELL AP",16055,"Chattanooga"
"USW00003811",14257.2,35.5931,-88.9167,132,"TN","JACKSON MCKELLAR AP",16810,"Jackson"
"USC00414325",14241.2,29.66,-95.6275,15.2,"TX","HOUSTON-WESTBURY",14030,"Sugar Land"
"US1GACW0009",14170.3,33.384,-84.8338,266.4,"GA","NEWNAN 2.6 W",14447,"Newnan"
"USW00013876",14155.5,33.5656,-86.745,187.5,"AL","BIRMINGHAM AP",13355,"Birmingham"
"USC00178792",14155.1,45.4353,-67.7214,189,"ME","TOPSFIELD 2",15486,"Topsfield"
"USW00013942",14147.6,32.5156,-92.0406,24.1,"LA","MONROE RGNL AP",15662,"Monroe"
"USW00003952",14115.2,34.8364,-92.2619,173.1,"AR","LITTLE ROCK",16810,"North Little Rock"
"USW00003889",14109.7,37.5908,-83.3131,415.7,"KY","JACKSON",14629,"Jackson"
"USW00003856",14074.1,34.6439,-86.7861,190.2,"AL","HUNTSVILLE INTL AP",15659,"Madison"
"US1GAFT0019",13931.6,33.7014,-84.5722,264.6,"GA","EAST POINT 6.3 WNW",14016,"Atlanta"
"US1PABR0002",13901.8,40.3162,-75.9887,97.5,"PA","READING 3.5 SW",16916,"Reading"
"USC00301625",13856.5,42.6472,-78.7111,467.9,"NY","COLDEN 1W",13935,"Colden"
"USC00085359",13853.5,25.9492,-81.7139,3,"FL","MARCO IS",14500,"Marco Island"
"USW00013880",13827.5,32.8986,-80.0403,12.2,"SC","CHARLESTON INTL AP",12565,"Charleston Afb"
"USW00012842",13786.3,27.9619,-82.5403,5.8,"FL","TAMPA INTL AP",15438,"Tampa"
"USW00093820",13781.4,38.0408,-84.6058,298.7,"KY","LEXINGTON BLUEGRASS AP",14241,"Lexington"
"USW00013891",13759.3,35.8181,-83.9858,293.2,"TN","KNOXVILLE MCGHEE TYSON AP",16336,"Alcoa"
"US1INOW0009",13741,39.1858,-86.7782,235.9,"IN","SPENCER 7.0 S",16524,"Spencer"
"USC00166584",13727.3,31.8142,-93.0856,43,"LA","NATCHITOCHES #2",15433,"Natchitoches"
"USC00450482",13687.2,45.7717,-122.5286,86.6,"WA","BATTLE GROUND",10323,"Battle Ground"
"USW00003816",13662.9,37.0683,-88.7719,119.5,"KY","PADUCAH",17855,"West Paducah"
"US1INWK0005",13654.1,38.0805,-87.2758,143,"IN","BOONVILLE 2.4 N",16898,"Boonville"
"USC00382735",13653.7,32.6072,-80.3258,3.7,"SC","EDISTO IS MIDDLETON PLANTATION",14750,"Edisto Island"
"USW00013963",13630.1,34.7272,-92.2389,78.6,"AR","LITTLE ROCK AP ADAMS FLD",15364,"Little Rock"
"USW00003812",13612,35.4319,-82.5375,645.3,"NC","ASHEVILLE RGNL AP",14538,"Fletcher"
"USC00065445",13599.1,41.9725,-73.2208,408.4,"CT","NORFOLK 2 SW",13529,"Norfolk"
"USC00190736",13556,42.2122,-71.1136,190.5,"MA","BLUE HILL",14517,"Milton"
"USW00013897",13523.4,36.1189,-86.6892,182.9,"TN","NASHVILLE INTL AP",16329,"Nashville"
"USW00093808",13475.4,36.9647,-86.4239,160.9,"KY","BOWLING GREEN WARREN CO AP",15782,"Bowling Green"
"USW00012918",13445.7,29.6381,-95.2819,13.4,"TX","HOUSTON HOBBY AP",14005,"Houston"
"USC00195984",13401.9,41.9928,-71.1667,29,"MA","NORTON W",14937,"Norton"
"USW00093821",13259.2,38.1811,-85.7392,148.7,"KY","LOUISVILLE INTL AP",13547,"Louisville"
"USC00171131",13257.6,43.2242,-70.6389,46.3,"ME","CAPE NEDDICK",14690,"Cape Neddick"
"USC00443375",13239,37.6183,-79.4358,224.6,"VA","GLASGOW 1 SE",12375,"Buena Vista"
"USW00024227",13231,46.9733,-122.9033,57.3,"WA","OLYMPIA AP",9433,"Olympia"
"US1NCWK0013",13226.1,35.8624,-78.5665,103.9,"NC","RALEIGH 5.9 ENE",12742,"Raleigh"
"USC00185934",13207.4,39.7194,-76.8028,262.1,"MD","MILLERS 4 NE",12239,"Manchester"
"USC00193624",13196.7,42.2269,-70.9125,10.7,"MA","HINGHAM",15819,"Hingham"
"US1NCNS0002",13106.4,35.9713,-78.0134,68.3,"NC","NASHVILLE 3.2 W",12190,"Nashville"
"USC00448192",13089.4,36.7297,-76.6014,6.7,"VA","SUFFOLK LAKE KILBY",12639,"Suffolk"
"USW00003870",13072.8,34.8831,-82.2203,286.5,"SC","GREER",13190,"Greer"
"USC00173862",13022.1,43.6475,-70.675,92.7,"ME","HOLLIS",13586,"Hollis Center"
"USW00013874",12994.7,33.63,-84.4417,307.8,"GA","ATLANTA HARTSFIELD INTL AP",11114,"Atlanta"
"US1DENC0002",12987.4,39.6249,-75.7861,33.8,"DE","NEWARK 3.9 SSW",13118,"Newark"
"USW00012960",12980.7,29.98,-95.36,29,"TX","HOUSTON INTERCONT AP",13200,"Houston"
"USC00360868",12953.9,41.8981,-78.7144,506,"PA","BRADFORD 4SW RSCH 5",13821,"Bradford"
"USW00014737",12939.9,40.6508,-75.4492,118.9,"PA","ALLENTOWN INTL AP",15416,"Catasauqua"
"USW00094728",12898.9,40.7789,-73.9692,39.6,"NY","NEW YORK CNTRL PK TWR",13478,"New York"
"USW00013895",12863.3,32.2997,-86.4075,61.6,"AL","MONTGOMERY AP",12114,"Montgomery"
"USC00368361",12859.8,41.8161,-80.425,306.3,"PA","SPRINGBORO 3 WNW",12963,"Springboro"
"USW00094746",12854.7,42.2706,-71.8731,304.8,"MA","WORCESTER RGNL AP",13919,"Worcester"
"USW00012834",12790.2,29.1828,-81.0483,9.4,"FL","DAYTONA BEACH INTL AP",14984,"Daytona Beach"
"USS0022F18S",12781,43.19,-122.14,1609.3,"OR","Diamond Lake",11417,"Chemult"
"USC00091500",12747.6,31.1903,-84.2036,53.3,"GA","CAMILLA 3SE",10917,"Camilla"
"USW00013873",12727.8,33.9481,-83.3275,239.3,"GA","ATHENS BEN EPPS AP",11763,"Athens"
"USC00175736",12699.2,44.6353,-70.0003,146.3,"ME","NEW SHARON",13083,"New Sharon"
"US1DENC0010",12684.2,39.7256,-75.6488,20.7,"DE","NEWPORT 2.4 WNW",12301,"Wilmington"
"USS0015B02S",12678.1,47.46,-115.71,1566.7,"ID","Lookout",9604,"Mullan"
"USW00093718",12676.6,33.8117,-78.7239,9.8,"SC","N MYRTLE BCH AP",14230,"North Myrtle Beach"
"USW00012816",12671.1,29.6919,-82.2756,37.5,"FL","GAINESVILLE RGNL AP",12635,"Gainesville"
"USC00178817",12655,44.2822,-70.2561,172.2,"ME","TURNER",13066,"Turner"
"USC00361810",12647.5,41.7392,-77.9711,655.3,"PA","COUDERSPORT 7SE",14074,"Coudersport"
"USC00387687",12616.6,34.6111,-82.7269,233.2,"SC","SANDY SPRINGS 2 NE",10626,"Pendleton"
"USW00012815",12614,28.4339,-81.325,27.4,"FL","ORLANDO INTL AP",12197,"Orlando"
"US1FLLK0003",12612.2,28.565,-81.824,34.1,"FL","GROVELAND 1.7 E",12336,"Groveland"
"US1NHMR0006",12611.2,43.52,-71.819,285,"NH","DANBURY 2.2 ESE",12673,"Danbury"
"US1INDV0001",12609.6,38.6754,-87.19,145.1,"IN","WASHINGTON 1.5 NW",15736,"Washington"
"USC00170409",12602.3,43.9317,-69.8564,7.6,"ME","BATH",13811,"Bath"
"USW00013889",12573.5,30.4844,-81.7019,10.1,"FL","JACKSONVILLE",11781,"Jacksonville"
"USC00172048",12559.6,43.9997,-70.0964,42.7,"ME","DURHAM",13396,"Durham"
"USC00300321",12554.1,42.9328,-76.5447,234.7,"NY","AUBURN",12839,"Auburn"
"USW00014764",12533.6,43.6497,-70.3003,13.7,"ME","PORTLAND INTL JETPORT",13264,"Portland"
"USW00093814",12526.3,39.0431,-84.6717,264.9,"KY","CINCINNATI NORTHERN KY AP",13400,"Hebron"
"USC00317845",12507.8,35.3111,-81.5708,249.9,"NC","SHELBY 2 NW",13371,"Shelby"
"USW00093842",12491.3,32.5161,-84.9422,119.5,"GA","COLUMBUS METRO AP",12445,"Columbus"
"USW00012838",12476.5,28.1011,-80.6439,8.2,"FL","MELBOURNE INTL AP",14154,"Melbourne"
"USW00003860",12475.5,38.365,-82.555,251.2,"WV","HUNTINGTON TRI STATE AP",12550,"Huntington"
"USW00014765",12430.9,41.7219,-71.4325,18.3,"RI","PROVIDENCE T F GREEN AP",13207,"Warwick"
"USC00353971",12420.7,44.3525,-122.7842,185.9,"OR","HOLLEY",10940,"Sweet Home"
"USW00014711",12380.6,40.1936,-76.7633,95.1,"PA","MIDDLETOWN HARRISBURG INTL AP",12178,"Middletown"
"USC00367732",12360.6,39.8958,-76.3947,59.4,"PA","SAFE HARBOR DAM",12464,"Brogue"
"USC00317202",12349.8,36.3797,-79.6944,271.3,"NC","REIDSVILLE 2 NW",12616,"Reidsville"
"USW00014734",12323.8,40.6825,-74.1694,2.1,"NJ","NEWARK INTL AP",14884,"Elizabeth"
"USW00013722",12311,35.8922,-78.7819,126.8,"NC","RALEIGH DURHAM INTL AP",10919,"Morrisville"
"USW00053860",12279.4,30.3361,-81.5147,12.5,"FL","JACKSONVILLE CRAIG MUNI AP",12097,"Jacksonville"
"USW00014740",12257.8,41.9381,-72.6825,57.9,"CT","HARTFORD BRADLEY INTL AP",13333,"Windsor Locks"
"USC00319675",12249.7,36.1306,-80.5481,266.7,"NC","YADKINVILLE 6 E",11944,"Yadkinville"
"USC00235027",12249.1,37.3908,-93.9492,328.3,"MO","LOCKWOOD",15369,"Lockwood"
"USW00013866",12236.1,38.3794,-81.59,277.4,"WV","CHARLESTON YEAGER AP",11925,"Charleston"
"US1INHN0011",12233.3,39.937,-85.9,259.1,"IN","MCCORDSVILLE 2.6 NE",12831,"Fortville"
"USC00314996",12231.9,35.4606,-81.3297,270.4,"NC","LINCOLNTON 4 W",13699,"Lincolnton"
"USC00406534",12230.3,35.9833,-83.2008,315.8,"TN","NEWPORT 1 NW",14632,"Newport"
"USW00013957",12201.8,32.4506,-93.8411,83.2,"LA","SHREVEPORT",10886,"Shreveport"
"USW00013964",12189.4,35.3331,-94.3625,136.9,"AR","FT SMITH RGNL AP",17150,"Fort Smith"
"USC00446475",12183.8,37.5844,-75.8217,9.1,"VA","PAINTER 2 W",11785,"Painter"
"USW00003962",12158,34.29,-93.06,163.1,"AR","HOT SPRINGS ASOS",13302,"Bismarck"
"USS0021C28S",12127.8,46.64,-121.38,1353.3,"WA","White Pass E.S.",8597,"Naches"
"USW00093987",12111,31.2361,-94.7544,87.8,"TX","LUFKIN ANGELINA CO AP",10596,"Diboll"
"US1NCGL0008",12099.2,36.1515,-79.7968,242.3,"NC","GREENSBORO 5.3 NNE",13168,"Greensboro"
"USW00013786",12080.4,36.2606,-76.175,4,"NC","ELIZABETH CITY CGAS",13977,"Elizabeth City"
"USW00013781",12067.3,39.6728,-75.6008,24.1,"DE","WILMINGTON NEW CASTLE CO AP",12189,"New Castle"
"USW00012923",12034.3,29.2733,-94.8592,1.5,"TX","GALVESTON SCHOLES FLD",15052,"Galveston"
"USW00093721",12015.6,39.1667,-76.6833,47.5,"MD","BALTIMORE WASH INTL AP",9691,"Hanover"
"US1ILSC0003",12013.9,38.5096,-89.9711,157.9,"IL","BELLEVILLE 2.2 SE",13913,"Belleville"
"USC00193276",12009.8,42.7467,-71.0425,9.1,"MA","GROVELAND",12742,"Groveland"
"USS0013A27S",11956.7,48.8,-113.67,1493.5,"MT","Many Glacier",10385,"Cut Bank"
"USW00093720",11907.2,38.3406,-75.5103,14.6,"MD","SALISBURY WICOMICO RGNL AP",9374,"Salisbury"
"USC00272302",11905.4,42.8267,-71.6261,73.2,"NH","E MILFORD",11613,"Milford"
"USW00003822",11860.5,32.13,-81.21,14,"GA","SAVANNAH INTL AP",13050,"Savannah"
"USW00004781",11855.5,40.7939,-73.1017,25.6,"NY","ISLIP LI MACARTHUR AP",12386,"Ronkonkoma"
"USC00190120",11824.5,42.3861,-72.5375,44.2,"MA","AMHERST",11424,"Amherst"
"USC00351897",11823.3,43.7917,-123.0275,181.4,"OR","COTTAGE GROVE 2E",10717,"Cottage Grove"
"US1MOFSA065",11820.3,37.6605,-91.5535,344.1,"MO","SALEM 1.8 NW",13694,"Salem"
"USC00237263",11765.4,37.9567,-91.7761,357.5,"MO","ROLLA MISSOURI S&T",12826,"Rolla"
"USC00313555",11748.2,36.0503,-79.3728,201.2,"NC","GRAHAM 2 ENE",13307,"Graham"
"US1ILWL0051",11723.5,41.5819,-88.1937,181.1,"IL","PLAINFIELD 2.4 SSE",16188,"Plainfield"
"USW00013877",11709.4,36.4731,-82.4044,457.2,"TN","BRISTOL TRI CITY AP",14223,"Blountville"
"USW00014732",11698.7,40.7794,-73.8803,3.4,"NY","NEW YORK LAGUARDIA AP",12921,"East Elmhurst"
"USW00014778",11682.9,41.2433,-76.9217,158.5,"PA","WILLIAMSPORT",12365,"Montoursville"
"USW00013741",11634.6,37.3169,-79.9742,358.1,"VA","ROANOKE RGNL AP",10809,"Roanoke"
"USW00013971",11633.4,36.2667,-93.1567,418.8,"AR","HARRISON BOONE CO AP",14474,"Harrison"
"USC00274234",11615.6,42.7831,-71.4147,56.4,"NH","HUDSON 1 SSE",13372,"Hudson"
"USW00003813",11610.2,32.6847,-83.6528,104.5,"GA","MACON MIDDLE GA RGNL AP",11324,"Macon"
"USW00013723",11609.6,36.0969,-79.9433,271.3,"NC","PIEDMONT TRIAD INTL AP",13207,"Greensboro"
"USC00368469",11595,41.4039,-78.0183,284.1,"PA","STEVENSON DAM",13903,"Austin"
"USW00004725",11594.1,42.1997,-75.985,489.5,"NY","BINGHAMTON",11182,"Johnson City"
"USC00307705",11583.4,42.6772,-75.5067,333.8,"NY","SHERBURNE",11183,"Sherburne"
"USW00013740",11583.2,37.505,-77.3203,50,"VA","RICHMOND INTL AP",10902,"Richmond"
"USW00014860",11574,42.08,-80.1825,222.5,"PA","ERIE INTL AP",10273,"Erie"
"USC00128784",11568.9,40.2233,-86.1086,271.3,"IN","TIPTON 5 SW",10262,"Tipton"
"USS0005J37S",11561.6,40.53,-105.89,3084.6,"CO","Joe Wright",11357,"Bellvue"
"USW00013883",11561.5,33.9486,-81.1186,70.4,"SC","COLUMBIA",10744,"West Columbia"
"USW00094702",11556.7,41.1583,-73.1289,1.5,"CT","BRIDGEPORT SIKORSKY MEM AP",12982,"Stratford"
"USC00441955",11550.8,37.2819,-78.9592,248.4,"VA","CONCORD 4 SSW",11659,"Concord"
"USS0015C05S",11537.1,46.49,-115.8,938.8,"ID","Pierce R.S.",10526,"Pierce"
"US1OHMD0002",11528.4,41.2498,-81.8133,342,"OH","BRUNSWICK 0.5 NE",11082,"Brunswick"
"USW00013736",11475,39.6428,-79.9164,378,"WV","MORGANTOWN HART FLD",11444,"Morgantown"
"USC00444148",11470.7,37.1258,-79.525,273.4,"VA","HUDDLESTON 4 SW",12172,"Huddleston"
"USW00094789",11467.3,40.6386,-73.7622,3.4,"NY","NEW YORK JFK INTL AP",13216,"Springfield Gardens"
"USW00013995",11461.5,37.2353,-93.4003,389.5,"MO","SPRINGFIELD",13841,"Springfield"
"USW00013881",11450.7,35.2236,-80.9553,221.9,"NC","CHARLOTTE DOUGLAS AP",13730,"Charlotte"
"USW00003872",11443.7,37.7836,-81.1231,766.3,"WV","BECKLEY RALEIGH CO AP",11201,"Beaver"
"USW00093739",11442.9,37.9406,-75.4631,11.6,"VA","WALLOPS ISLAND FLIGHT FAC",11868,"Horntown"
"USW00014852",11433.8,41.2544,-80.6739,359.7,"OH","YOUNGSTOWN RGNL AP",12645,"Vienna"
"USW00093846",11403.4,34.4978,-82.7097,231.6,"SC","ANDERSON CO AP",10013,"Anderson"
"USC00125407",11369.5,39.4039,-86.453,180.4,"IN","MARTINSVILLE 2 SW",13347,"Martinsville"
"US1OHFR0003",11327,39.981,-83.0401,234.1,"OH","GRANDVIEW HEIGHTS 0.1 N",10725,"Columbus"
"USC00369408",11300.7,41.7003,-77.3872,554.1,"PA","WELLSBORO 4 SW",12150,"Wellsboro"
"USC00330279",11298.6,39.3225,-82.0994,208.5,"OH","ATHENS OU",13243,"Athens"
"USC00367409",11292.2,41.33,-77.7381,201.2,"PA","RENOVO",12041,"Renovo"
"USW00003901",11291.4,32.3847,-94.7117,111.3,"TX","LONGVIEW E TX RGNL AP",12273,"Longview"
"USW00014895",11274.3,40.9167,-81.4333,368.2,"OH","AKRON CANTON RGNL AP",11258,"Canton"
"USW00014820",11263.8,41.4131,-81.86,232.6,"OH","CLEVELAND",10163,"Cleveland"
"USW00093819",11226.8,39.7075,-86.2803,240.8,"IN","INDIANAPOLIS",11989,"Indianapolis"
"USC00117457",11222.5,41.6042,-88.085,201.2,"IL","ROMEOVILLE WFO",14433,"Romeoville"
"USW00013994",11198.2,38.7525,-90.3736,161.8,"MO","ST LOUIS LAMBERT INTL AP",13723,"Bridgeton"
"USW00014607",11180.5,46.8706,-68.0172,190.2,"ME","CARIBOU MUNI AP",10564,"Caribou"
"USC00360132",11180.3,40.4189,-78.4197,359.7,"PA","ALTOONA 7 SW",11384,"Duncansville"
"US1OHPT0012",11145,41.0085,-81.329,357.8,"OH","MOGADORE 4.7 SE",13186,"Mogadore"
"USC00440766",11138,37.2039,-80.4144,641,"VA","BLACKSBURG NWSO",10847,"Blacksburg"
"USC00368449",11136.6,40.7933,-77.8672,356.6,"PA","STATE COLLEGE",10548,"State College"
"USC00441159",11103,37.7267,-79.3628,256,"VA","BUENA VISTA",10982,"Buena Vista"
"USW00014821",11101.2,39.9914,-82.8808,246.9,"OH","COLUMBUS PORT COLUMBUS INTL AP",11173,"Columbus"
"USC00231801",11078.1,38.9425,-92.3206,219.5,"MO","COLUMBIA U OF M",11822,"Columbia"
"USW00014891",11047,40.8203,-82.5178,394.7,"OH","MANSFIELD LAHM MUNI AP",12175,"Mansfield"
"USW00004751",11044,41.8031,-78.6403,645.3,"PA","BRADFORD RGNL AP",11391,"Lewis Run"
"US1MDAL0002",11041.8,39.5768,-78.8498,230.1,"MD","CRESAPTOWN-BEL AIR 0.9 SSE",10930,"Cumberland"
"USW00014745",11013.8,43.1953,-71.5011,105.5,"NH","CONCORD MUNI AP",11489,"Concord"
"US1ILGY0001",11012.1,41.3414,-88.2981,160,"IL","CARBON HILL 3.1 N",15314,"Morris"
"USW00013878",10938,31.1522,-81.3908,4.9,"GA","BRUNSWICK MALCOLM MCKINNON AP",11270,"Saint Simons Island"
"USW00013733",10935.8,37.3208,-79.2067,286.5,"VA","LYNCHBURG RGNL AP",9920,"Lynchburg"
"USC00211198",10871,43.6308,-91.5028,355.4,"MN","CALEDONIA",12170,"Caledonia"
"USC00315356",10838.4,35.8033,-82.6658,585.2,"NC","MARSHALL",12015,"Marshall"
"US1ILWD0005",10819.2,41.816,-89.904,224,"IL","MORRISON 3.2 E",14247,"Morrison"
"USW00014606",10810.9,44.7978,-68.8186,45.1,"ME","BANGOR INTL AP",13215,"Bangor"
"USW00003820",10799.2,33.3644,-81.9633,40.2,"GA","AUGUSTA BUSH FLD AP",12927,"Augusta"
"USW00094823",10794.8,40.4847,-80.2144,366.7,"PA","PITTSBURGH INTL AP",13335,"Coraopolis"
"USW00013743",10770.8,38.8483,-77.0342,3,"VA","WASHINGTON REAGAN AP",10765,"Arlington"
"USC00437054",10759.4,44.42,-72.0194,213.4,"VT","SAINT JOHNSBURY",12065,"Saint Johnsbury"
"USC00369823",10757.7,40.0394,-78.5239,361.2,"PA","WOLFSBURG",11936,"Bedford"
"US1ILCN0003",10727.2,39.4736,-89.0462,195.1,"IL","PANA 6.2 NNE",13093,"Assumption"
"USC00442044",10700.4,37.8111,-79.9883,379.2,"VA","COVINGTON FLTR PLT",9708,"Covington"
"USC00474790",10688.1,43.3217,-89.5311,251.2,"WI","LODI",13414,"Lodi"
"USW00024233",10681.9,47.4444,-122.3139,112.8,"WA","SEATTLE TACOMA INTL AP",8610,"Seattle"
"USC00464840",10667.1,39.4214,-79.005,294.1,"WV","KEYSER 2 SSW",10027,"Keyser"
"USS0020L02S",10638.6,39,-120.13,2343.6,"CA","Rubicon #2",13350,"Tahoma"
"USW00014733",10578.8,42.9486,-78.7369,211.2,"NY","BUFFALO",12151,"Buffalo"
"USW00094860",10554.5,42.8939,-85.5447,237.1,"MI","GRAND RAPIDS",13061,"Grand Rapids"
"USW00093815",10550.9,39.9061,-84.2186,304.8,"OH","DAYTON INTL AP",10922,"Vandalia"
"USW00094908",10545,42.3978,-90.7036,321.9,"IA","DUBUQUE RGNL AP",13946,"Dubuque"
"USC00304996",10513.9,44.8419,-74.3081,268.2,"NY","MALONE",10515,"Malone"
"USW00094846",10513.6,41.995,-87.9336,200.6,"IL","CHICAGO OHARE INTL AP",12596,"Elk Grove Village"
