"id","average","latitude","longitude","elevation","state","name","total19","city"
"USW00021504",28667.4,19.7192,-155.0531,11.6,"HI","HILO INTL AP",25615,"Hilo"
"USW00094240",26770.1,47.9375,-124.555,56.4,"WA","QUILLAYUTE STATE AP",20567,"Forks"
"USS0021B01S",23590.4,47.75,-121.09,1204,"WA","Stevens Pass",16650,"Skykomish"
"USS0022E07S",22089.1,44.39,-122.17,1072.9,"OR","Jump Off Joe",16685,"Foster"
"USC00455840",20536,48.6758,-121.2419,160,"WA","NEWHALEM",14460,"Rockport"
"USC00084461",19822.1,26.86,-80.0553,1.5,"FL","JUNO BEACH",22728,"North Palm Beach"
"USC00352973",19230.4,44.0039,-124.0947,22.9,"OR","FLORENCE #2",16471,"Florence"
"USC00353705",19078.4,45.3128,-123.35,230.4,"OR","HASKINS DAM",12930,"Yamhill"
"USW00094224",18615.2,46.1569,-123.8825,2.7,"OR","ASTORIA RGNL AP",13092,"Warrenton"
"USW00025501",18605.4,57.7511,-152.4856,24.4,"AK","KODIAK AP",18739,"Kodiak"
"USC00451679",18492.4,48.5397,-121.7422,59.4,"WA","CONCRETE PPL FISH STN",13315,"Concrete"
"USC00355221",18407,44.6125,-121.9486,754.4,"OR","MARION FORKS FISH HATCHERY",13944,"Idanha"
"USC00097827",18283.2,34.6647,-83.7342,484.9,"GA","SAUTEE 3W",20572,"Sautee Nacoochee"
"USW00013899",18061.5,30.4781,-87.1869,34.1,"FL","PENSACOLA RGNL AP",13356,"Pensacola"
"USC00160558",17997.5,30.4494,-91.0478,16.8,"LA","BATON ROUGE SHERWOOD",19285,"Baton Rouge"
"USC00406162",17961.6,35.2242,-85.8414,563.9,"TN","MONTEAGLE",20801,"Monteagle"
"USW00094225",17763.4,46.9728,-123.9303,3.7,"WA","HOQUIAM BOWERMAN AP",11484,"Hoquiam"
"USW00012839",17524.2,25.7906,-80.3164,8.8,"FL","MIAMI INTL AP",17070,"Miami"
"USW00013894",17208.2,30.6794,-88.2397,63.4,"AL","MOBILE",16443,"Mobile"
"US1FLOK0029",17049.8,30.4109,-86.6475,4.9,"FL","MARY ESTHER 0.6 E",13876,"Mary Esther"
"USW00013970",16880.6,30.5372,-91.1469,19.5,"LA","BATON ROUGE RYAN AP",16285,"Baton Rouge"
"RQW00011641",16836.8,18.4325,-66.0108,2.7,"PR","SAN JUAN L M MARIN AP",11937,"Carolina"
"USW00025309",16807,58.3567,-134.5639,4.9,"AK","JUNEAU INTL AP",15362,"Juneau"
"USC00164700",16625.7,30.2003,-92.6642,7.6,"LA","JENNINGS",17515,"Jennings"
"US1FLMD0022",16617.3,25.665,-80.4395,2.7,"FL","HAMMOCKS 0.5 SSE",16002,"Miami"
